,Text,Speaker
11814," It’s not a date, okay. I’m just gonna teach him how to make lasagne for some pot luck dinner he has.",monica
11815," Well, you might wanna make a little extra, y'know you’ll probably be hungry after the s*x.",joey
11816," We’re not gonna have s*x! Okay, nothing’s changed here. He still doesn’t want children and I still do, so that’s why we’re just gonna be friends.",monica
11817, Naked friends.,ross
11818,  Hey.,rachel
11819, Hey.,joey
11820, Do you have any ice?,rachel
11821," Check the freezer. If there’s none in there, then we’re probably out. Are you just getting in from work? It’s late.",joey
11822," Yeah, I know. I had the greatest day though, I got to sit in on the meeting with the reps from Calvin Klien. I told my boss I liked this line of lingerie, she ordered a ton of it. How was your day?",rachel
11823, I discovered I’m able to count all of my teeth using just my tongue.,joey
11824," Hmm.  Umm, why do you have a copy of The Shining in your freezer?",rachel
11825," Oh, I was reading it last night, and I got scared, so.",joey
11826," But ah, you’re safe from it if it’s in the freezer?",rachel
11827," Well, safer. Y'know, I mean I never start reading The Shining, without making sure we’ve got plenty of room in the freezer, y'know.",joey
11828, How often do you read it?,rachel
11829, Haven’t you ever read the same book over and over again?,joey
11830," Well, umm, I guess I read Little Women more than once. But I mean that’s a classic, what’s so great about The Shining?",rachel
11831," The question should be Rach, what is not so great about The Shining. Okay? And the answer would be: nothing. All right? This is like the scariest book ever. I bet it’s way better than that classic of yours.",joey
11832," Okay. Ah, well we’ll just see about that, okay. I will read The Shining,  and you will read Little Women.",rachel
11833," All right, you got it.",joey
11834, All right.,rachel
11835, Okay.,joey
11836, Okay.,rachel
11837," Ah, now Rach, these ah, these little women.",joey
11838, Yeah.,rachel
11839," How little are they? I mean, are they like scary little?",joey
11840," Um, Chandler, Ross, this is Robert.",phoebe
11841," Oh, hey.",chandler
11842, Hey.,ross
11843,"  You’ve have lipstick right here . That’s okay, it’s mine, we just kissed.",phoebe
11844, Oh.,ross
11845,"  So ah, isn’t a bit cold out for shorts?",chandler
11846," Right, right. Sometimes you guys just burst into flames.",chandler
11847,"  I’m up! I’m up, I’ve gotten up now! Anybody ah, want anything?",chandler
11848, I’ll have coffee.,phoebe
11849," Yeah, make that three.",ross
11850," Okay Ross, why don’t you come with me?",chandler
11851," Okay.   What ah, what is the matter with you? What’s going on?",ross
11852, Robert’s coming out.,chandler
11853," What, what do you mean, what? Is he gay?",ross
11854, No. He.....he’s coming out of his shorts.,chandler
11855, What?!,ross
11856, The man is showing brain.,chandler
11857," Are you sure?  Hold on.  I’m sorry you guys, that was a coffee and a....",ross
11858, Okay.,ross
11859," No, no, that won’t be ah, that won’t be necessary ",ross
11860,  Wellll?,chandler
11861," Yeah, yeah, yeah!",ross
11862, What do we do? What do we do?,chandler
11863," Well, I suppose we just try to not look directly at it.",ross
11864, Like an eclipse.,chandler
11865," You say ‘Thank you very much,’ and then you buy me something pretty. Come on, we’re gonna put are hands in this bowl, and we’re gonna start squishing the tomatoes.",monica
11866, You touch people’s eyeballs every day and this feels weird.,monica
11867, Oops.,monica
11868, Gotta keep squishing.,monica
11869, Okay.,monica
11870," Oh, gosh, you got some on your shirt.",monica
11871," Hold on a second, just put a little club soda on it  and it should umm, be.....",monica
11872," Umm, you’ve got some on your pants.",monica
11873, These little women. Wow!,joey
11874," Your liking it, huh?",chandler
11875, Oh yeah! Amy just burned Jo’s manuscript. I don’t see how he could ever forgive her.,joey
11876," Umm, Jo’s a girl, it’s short for Josephine.",ross
11877, But Jo’s got a crush on Laurie.  Oh. You mean it’s like a girl-girl thing? ‘Cause that is the one thing missing from The Shining.,joey
11878," No, actually Laurie’s a boy.",chandler
11879, No wonder Rachel had to read this so many times.,joey
11880, Hey!,phoebe
11881, Hey.,chandler
11882," Hey! How’d the ah, basketball go?",ross
11883," Oh, okay, I learned how to shoot a lay-up, a foul shot, and a twenty-three pointer.",phoebe
11884, You mean a three pointer?,chandler
11885," Oh, I get more because I’m dainty.",phoebe
11886," Yeah, in the back. You want a quarter?",phoebe
11887,"  What are you doing?  Get back over on your side of the...  Hello!!  Hi, I’m Joey, we haven’t met.",joey
11888," What?  What? You guys, what is going on? You not like Robert?  Why are you laughing?!",phoebe
11889, Calm down. There’s no reason to get testy.,ross
11890, You guys!! Come on!,phoebe
11891," I’m sorry, I’m sorry, it just seems that Robert isn’t as concealed in the shorts area, as ah, one may have hoped.",chandler
11892, What do you mean?,phoebe
11893, Hey.,phoebe
11894," Hey Robert, could you ah, ha, pass me those cookies?",joey
11895," So, how’d the lasagne go over?  Really?! Good. So you owe me three pretty things.  Yeah, I’ve been thinking a lot about you too.  I know. It’s hard this whole platonic thing.  It’s a word!",monica
11896," Yeah, I do think it’s better this way.  Yeah, we’re being smart.   Yes, I’m sure.",monica
11897, I’ll call you back. ,monica
11898, So we can be friends who sleep together.,monica
11899," Sounds smart and healthy to me. So um, just out of curiosity, um, do you currently have any other racquetball buddies?",monica
11900, Oh.,monica
11901, No!  No!,monica
11902," ‘Cause if you do that means you’d be cancelling it for me, and we’re just friends.",monica
11903, Hey. Ooh! Don’t sit down!,phoebe
11904," Yeah. And, first here’s a gift.",phoebe
11905," Stretchy pants! Why, those are the greatest things in the world! If I were you I would wear them every day, every day!",chandler
11906," That’s all right, that’s well, I figured.... ",phoebe
11907, Hey!  How’s it going?,joey
11908, Good.,ross
11909," Hey, Rach, how you doing with The Shining?",joey
11910," Oh, Danny just went into room 217.",rachel
11911," Oooh, the next part’s the best, when that dead lady in the bathtub...",joey
11912," Oh, no, meh-nah-nah-nah, come on you’re gonna ruin it!",rachel
11913, All right I’ll talk in code.  Remember when the kid sees those two blanks in the hallway?,joey
11914," Hmmm, that’s very cool.",chandler
11915," Oh, all blank, and no blank, make’s blank a blank blank. Oh no-no-no, no, the end when Jack almost kills them all with that blank, but then at last second they get away. Aww!",joey
11916, Joey! I can’t believe you just did that!,rachel
11917, I can’t believe she cracked your code!,chandler
11918," All right, okay, Laurie proposes to Jo, and she says no, even though she’s still in love with him, and then he ends up marring Amy.",rachel
11919," Hey! Mine was by accident! All right, the boiler explodes and destroys the hotel, and kills the dad.",joey
11920, Eh. Beth dies.,rachel
11921," Beth, Beth dies?",joey
11922, Um-hmm.,rachel
11923, Is that true? If I keep reading is Beth gonna die?,joey
11924," No, Beth doesn’t die, she doesn’t die. Does she Rachel?",chandler
11925, What?!,rachel
11926, Joey’s asking if you’ve just ruined the first book he’s ever loved that didn’t star Jack Nicholson?,ross
11927, No. She doesn’t die.,rachel
11928, Then why would you say that?!,joey
11929," Because, I wanted to hurt you.",rachel
11930,  Oh my....,rachel
11931, Hi.,monica
11932,  Sorry. I’m sorry.,rachel
11933," You would not believe my day! I had to work two shifts, and then to top it off, I lost one of my fake boobs,  in a grill fire.",monica
11934, What are you smiling at?,monica
11935," I’m sorry, I was just thinking you’re day could still pick up.",rachel
11936," Yeah, right.",monica
11937, I love this friend thing!,monica
11938," Listen, Robert’s gonna be here any second so, will one of you just tell him?",phoebe
11939, Oh.,ross
11940," Please, right now, no, every time I see him it’s like ‘Is it on the lose?’ ‘Is it watching me?’",phoebe
11941," We can’t tell him, you can’t go up to a guy you barely know and talk about his.... stuff.",chandler
11942," He’s right, even if it’s to say something complementary. ",ross
11943, Hey.,phoebe
11944," No, I can spot you from here.",phoebe
11945," Okay, listen Robert...",phoebe
11946,"  Hey, don’t we have to...",ross
11947," Yeah, we got, um-hmm.",chandler
11948," Umm, I think you’re really, really great...",phoebe
11949," I-I-I-I-I don’t know, I don’t know what to say.",phoebe
11950, Ow!,monica
11951, Oh my God! Oh my God! ,monica
11952,"  So um, who was she?",monica
11953,"  Did you like her? And I’m just asking as a friend, because I am totally fine with this.",monica
11954,"  Okay, y'know what, I’m not fine, I’m not. I mean how can I be fine, hearing you come in with her, she wants to see your bedroom....  Y'know what, what if we’re friends who don’t see other people?",monica
11955," Why not?! I mean this has been the most amazing week. Would it be so terrible? Even if we were friends who lived together. Or, maybe someday friends who stood up in front of their other friends, and vowed to be friends forever.",monica
11956," That’s not true, you don’t have a moustache.",monica
11957," Y'know what, I’ve got to walk out of here right now, ‘cause getting over you is the hardest thing that I have ever had to do. I don’t think I could do it again.",monica
11958, How ‘bout one last game of racquetball?,monica
11959, Watch the thorns!,monica
11960, What?,rachel
11961," Beth is really, really sick.",joey
11962, Awwww.,rachel
11963," Jo’s there, but I don’t think there’s anything she could do.",joey
11964, Joey?,rachel
11965, Yeah.,joey
11966, Do you want to put the book in the freezer?,rachel
11967,  Okay.,joey
11968, Okay.,rachel
11969, Wow! This girl is good.,joey
11970," Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",phoebe
11971, I like her.,chandler
11972,  Why? Because she can sing and play guitar and do both at the same time?,phoebe
11973," Well, that’s pretty much all I’m looking for from these people.",chandler
11974,  Look at you. All jealous.,monica
11975," Yeah Pheebs, come on, you two have completely different styles. Y'know, she’s more.. y'know, and you’re more ",ross
11976," Okay, see, see, everyone else is happy she’s done.",phoebe
11977," Oh no, one of those ‘look for the hidden meaning’ songs.",phoebe
11978," Hey Leslie, how’d you know I’d be here?",phoebe
11979,"  All right listen, I have to go to the bathroom, but if the place with the big fish comes up again. I’d like know whether that’s several big fish or just one big fish.",chandler
11980,"  So ah, Phoebe tells us you write jingles.",joey
11981, Actually I said she abandoned me to write jingles.,phoebe
11982,"  Ah, anything we might of heard of?",joey
11983," Hmm, bummer.",phoebe
11984, No. But thanks.,phoebe
11985, Okay. No. But thanks.,phoebe
11986,"  Wow, that was kinda brutal.",joey
11987," Well okay, let this be a lesson to all of you, all right. Once you, once you betray me, I become like the ice woman, y’know. Very cold, hard, unyielding, y'know nothing, nothing can penetrate this icy exterior.  Can I have a tissue, please?",phoebe
11988," Yeah, sure.",monica
11989, No. This is just part of a dare devil game that I play called ‘wait until the last moment before I burst and die.’,chandler
11990," Jeez, man did you fall.. Hi! So ah, did ya, did-did-did ya fall high?",chandler
11991,"  Y'know what Gunther, go ah, go ahead, I’m-I’m talking to ah, .  This is the part where you say your name.",chandler
11992," Ginger. I’m talking to Ginger, so....",chandler
11993," Nope, nope, I’d just ah, I’d rather talk to you.  Yes, I do. Yes, I do have to go to the bathroom. ",chandler
11994, Where’s Chandler?,phoebe
11995," Ah, he can’t make it, he said he had to his...  Whoa-oh! ",joey
11996," Phew, close one.",joey
11997, Hi.,ross
11998," Hi, sweetie!",rachel
11999, Hello.,ross
12000," Yeah, huh.",ross
12001, I’ve got some bad news.,rachel
12002, What?,ross
12003," I can get a quick bite to eat, but then I have to come back up here.",rachel
12004," Come on sweetie! You’ve had to work late every night for the past two weeks, what is it this time?",ross
12005,"  But work comes first!  Oh hey, but that’s sad about you though, what happened? Burn out? Burn all out, did ya?",ross
12006," Nooo, he’s leaving for a better job.",rachel
12007," Oh well that’s great, so I guess this is ah, this is good bye then. Huh?  Good bye.",ross
12008, Okay.,ross
12009, Well we’re gonna miss you around here.,rachel
12010," Yeah, you bet.",rachel
12011, Oh. ,phoebe
12012, Y'know those are a delicacy in India.,monica
12013," Yeah, that was Leslie calling again to see if we can get back together. That’s the twentieth time today! And good luck Leslie!",phoebe
12014," Wow, she must have hurt you pretty bad, huh?",monica
12015," Well, yeah. Y'know, we were best friends, ever since we were little, our Moms worked on the barge together.",phoebe
12016," Oh, you two must have been so cute running around on a barge.",monica
12017, You never run on a barge!,phoebe
12018,  Hey.,joey
12019," Is ah, is Chandler around?",joey
12020," No, umm, he met some girl at the coffee house.",monica
12021, Oooh.,joey
12022," Yeah, Ginger something.",monica
12023," Nooo. No, no, ah, are you sure it wasn’t something that sounded like Ginger, like ah, Gingeer?",joey
12024," No, it was Ginger. I remember, because when he told me, I said,  ‘the movie star.’",monica
12025," Aww, man. That’s the girl I was hiding from. When she finds out he’s my roommate, she’s gonna tell him what I did.",joey
12026," Well, what did you do?",monica
12027," What, oh, oh, oh, no, no, I can’t, I can’t tell you that, it’s like the most awful, horrible thing I’ve ever done my whole life.",joey
12028," Y'know what, don’t tell us. We’ll just wait until Chandler gets home,  because it’ll be more fun that way.",monica
12029," All right!! Okay, it was like four years ago. Okay, Ginger and I had gone out a few times, and then this one weekend, we went up to her Dad’s cabin. Just me, her, and her annoying little dog Pepper. Well that night, I cooked this really romantic dinner....",joey
12030, You gave her food poisoning!?,monica
12031," I wish. No. After dinner, me, her, and Pepper all fell asleep in front of the fire. Well I woke up in the middle of the night and I saw that the fire was dying out. So, I picked up a log and threw it on. Or, at least what I thought was a log.",joey
12032, Oh my God!! You threw Pepper on the fire!,phoebe
12033," I wish. See, I guess another thing I probably should’ve told you about Ginger is that she kinda has a ah, artificial leg.",joey
12034," Oh my God! Joey, what did you do after you threw her leg on the fire?",monica
12035, I ran!!,joey
12036," Well, that’s the best kiss I’ve had with anyone I’ve ever met in a men’s room.",chandler
12037,"  Op, foot in a puddle, foot all in a puddle.",chandler
12038," Yeah, we’re gonna have to get you out of those shoes.",chandler
12039," No, really you’re gonna freeze.",chandler
12040," You’re not, what do you, what do you got a bionic foot?",chandler
12041, Funny book?,rachel
12042," Hmmm. Oh, no, no, I just thinking about something funny I heard today. Umm, Mark, Mark saying ‘I’ll see you Saturday.’",ross
12043," Yeah, at the lecture, I told you that last week, you said you didn’t mind.",rachel
12044," Oh, no, no, no, it’s-it’s not the lecture ah, I mind, umm....",ross
12045," Oh, please tell me it’s not because I’m going with Mark.",rachel
12046," Oh, well...",ross
12047, Oh my God!!! Ross!!,rachel
12048," Well, I’m sorry, but ah, look if you’re not working with him anymore, why do you have to still do stuff with him?",ross
12049," Because, he’s my friend.",rachel
12050," Okay, but do you really need another friend? I mean...",ross
12051," Okay, well if I stop playing with Joey and Chandler, can I play with Mark?",rachel
12052, Is that funny? Am I supposed to be laughing?,ross
12053," I don’t know, you thought ‘See you Saturday’ was funny. Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with. You guys would never want to go to a lecture with me.",rachel
12054, Pa-haa!! I would love to go with you.,ross
12055, Really!?,rachel
12056," Yeah, hey I-I have clothes, I even pick them out. I mean for, for all you know I could be a fashion..... monger.",ross
12057," Okay. Honey, I would love for you to go with me.  What?",rachel
12058," What should I wear, now I’m all nervous.",ross
12059, Y'know they say a watched pot never beeps.,monica
12060," It’s just y'know, been a couple of hours, and she hasn’t called. Not that I even care, y'know.",phoebe
12061, Phoebe why don’t you just call her? You obviously want to.,monica
12062, You think you know me so well.,phoebe
12063," Well, don’t ‘cha wanna?",monica
12064, Yeah.,phoebe
12065," Okay, well I do know you.",monica
12066, That’s what I said.,phoebe
12067, Well so?,monica
12068," I can’t. I can’t. She dumped me, I mean I totally trusted her and then one day it was ‘Okay, bye Pheebs’ gone. Y'know what the saddest part is, when we were playing together, that was like the most fun I’ve ever had in like all my lives.",phoebe
12069,  I stepped in something icky.,phoebe
12070,  I’m really glad we came.  You’re so pretty. I love you.,ross
12071, Oh. ,rachel
12072,"  Smelly cat, smelly cat, what are they feeding you? Smelly cat, smelly cat, it’s not your fault.",phoebe
12073," Oh, yeah!",phoebe
12074," I..., a jingle? No, no-no-no, no.",phoebe
12075," Okay, well if I was in this for the money, I’d be a millionaire by now, y'know. You just got to get out of that jingle head sweetie.",phoebe
12076," That’s okay. All right, I’m gonna play song that’s really, really sad. It’s called Magician Box Mix Up. ",phoebe
12077,  Hi!,monica
12078, Hey.,chandler
12079," Oh, can I borrow this?  My milk’s gone bad.",monica
12080," Oh, I hate that. I once had a thing of half and half, stole my car.",chandler
12081," So umm, how was your date with Ginger?",monica
12082," Great. It was great. She’s ah, she’s great, great looking, great personality, she’s greatness.",chandler
12083," Sounds like she’s got the ah, whole package.",monica
12084," Joey told you about the leg, huh?",chandler
12085, Uh-huh.,monica
12086," Oh God, it freaked me out. Okay, I know it shouldn’t have, but it did. I mean I like her, I don’t want to stop seeing her, but every so often it’s like ‘Hey, y'know what, where’s your leg?’ I mean I’m the smallest person in the world aren’t I? I’m the smallest person in the world.",chandler
12087,  Morning.,joey
12088,  Actually he’s the smallest person in the world.,chandler
12089,  Heard about the leg burnin’ huh?,joey
12090, It came up.,chandler
12091," Listen, I ah, I know it’s a longshot. But, by any chance did she find that funny?",joey
12092,  So I nodded off a little.,ross
12093, Nodded off!! Ross you were snoring. My father’s boat didn’t make that much noise when it hit rocks!,rachel
12094, Come on! Forty-five minutes! Forty-five minutes the man talked about strappy backed dresses.,ross
12095," Well okay, how about four hours in a freezing museum auditorium listening to Professor Pitstains and he’s ‘Hey everybody! Remember that thing that’s been dead for a gazillion years. Well there’s this little bone we didn’t know it had!’",rachel
12096," First of all it’s Professor Pittain! And second of all, that little bone, proved that, that particular dinosaur had wings, but didn’t fly.",ross
12097," Okay, see now, what I just heard: blah-blah-blah, blah-blah-blah-blah-blah, blah-blah-blah, blah, blah.",rachel
12098," Y'know what, 100 million people went to see a movie about what I do, I wonder how many people would go see a movie called, Jurassic Parka.",ross
12099," Oh, that is so...",rachel
12100," No-no-no, a bunch of out of control jackets take over an island. ",ross
12101," Y'know if what I do is so lame, then why did you insist on coming with me this morning? Huh? Was it so I just wouldn’t go with Mark?",rachel
12102," No. I... I wanted to be with you. I don’t know, I feel like lately, I feel like you’re slipping away from me, y'know. With this new job, and all these new people, and you’ve got this whole other life going on. I-I-I know it’s dumb, but I hate that I’m not a part of it.",ross
12103," It’s not dumb. But, maybe it’s okay that you’re not a part of it. Y'know what I mean?  I mean it’s like, I-I-I like that you’re not involved in that part of my life.",rachel
12104, That’s a little clearer.,ross
12105," Honey see, it doesn’t mean that I don’t love you. Because I do. I love you, I love you so much. But my work it’s-it’s for me y'know, I’m out there, on my own, and I’m doing it and it’s scary but I love it, because it’s mine. I, but, I mean is that okay?",rachel
12106," Sure, I-I-I... ",ross
12107," No. No. Actually I forgot, what is the deal with that again?",chandler
12108, No. No. I don’t think so.,chandler
12109, That’s-that’s my nubbin.,chandler
12110," It’s kinda a ah, a third nipple kinda thing.",chandler
12111," Well, y'know two regulars. And ah one that barely qualifies as...  Ahh, what?",chandler
12112," You ah, you have, you have to leave, now? How come?",chandler
12113,"  Oh, I thought you weren’t coming. What? Where were you?",phoebe
12114," Okay, don’t give me a reason to get mad, okay",phoebe
12115," No, look, I told you that I didn’t want you to try and sell it, and you just, you big fat did it anyway. God, y'know what, I think five years ago I probably would’ve done anything to play with you but, I can do it by myself. And if I can’t trust you then just forget it.",phoebe
12116," Okay y'know what you have to choose. All right, if-if the most important thing on the planet to you is this cat poopy thing then, okay you can have Smelly Cat, but we won’t be partners. So what’s it gonna be?",phoebe
12117," Sorry, Pheebs.",monica
12118, Yeah. You okay?,joey
12119," Yeah. I actually am, yeah. Y'know life-life’s gonna had you all kinds of stuff, y'know you learn your little lessons and hopefully you grow. Wanna hear a new song?",phoebe
12120, Yeah.,joey
12121, We’d love too.,monica
12122, Okay.  ‘Jingle bitch screwed me over! Go to hell jingle whore! Go to hell Go to hell. Go to hell-hell-hell.’ That’s all I have so far.,phoebe
12123,  Well hello!,chandler
12124, Where have you been?,joey
12125, The doctor.,chandler
12126, Is everything okay?,ross
12127," Oh yes! Just had me a little nubbin-ectomy. Yep! Two nipples, no waiting.",chandler
12128, Wow! It’s like Rachel in High School.,monica
12129, What?!!,rachel
12130," Come on! Come on, I was kidding! It was such an obvious joke!",monica
12131," That was an obvious joke, and I didn’t think of it. Why didn’t I think of it? The source of all my powers. Oh dear God, what have I done!",chandler
12132,"  Hey, how much will you give me to eat this whole jar of olives?",joey
12133," I won’t give you anything, but you’ll owe me 2.95.",monica
12134, Done.,joey
12135,  Hey. I need an atlas! I need an atlas!,phoebe
12136, Why?  Do you have a report due?,monica
12137," I have a date with this diplomat I met while I was giving free massages outside the UN and, I don’t know where his country is.",phoebe
12138," Okay, let’s start with the free messages outside the UN.",monica
12139," Oh!! That’s my new thing. I figure bodies at peace, make peace.",phoebe
12140, Wow! You might just get the first Nobel prize in rubbing. So what country is this guy from?,monica
12141, Ick-neck-tree-anis..... There’s a ‘g’ in there.,phoebe
12142, Where’s that?,monica
12143, In your atlas!,phoebe
12144, I don’t have an atlas.,monica
12145, Oh.,phoebe
12146," Oh, but wait I do have a globe.",monica
12147, Oh.,phoebe
12148, Hold on.,monica
12149, So Pheebs what’s this guy like?,joey
12150," Umm, well he’s very dashing, y'know, and umm, very, very sophisticated, and he doesn’t speak any English, but according to his translator, he totally gets me.",phoebe
12151," ‘Kay, here you go. ",monica
12152, What is this?,phoebe
12153," It’s a globe and, a pencil sharpener.",monica
12154,"  Hey, does anybody need anything copied? I’m going down to the Xerox place.",chandler
12155," Oh, no thanks.",monica
12156," Okay listen, just give me anything I can make two of.",chandler
12157," Well, if you don’t have anything to copy, why are you going down there?",monica
12158," Yeah, are you just going down there to gawk at that hot girl with the belly button ring again?",joey
12159, Yeah! You wanna come?,chandler
12160, Yeah!,joey
12161, Come on Chloe! Finish up with your customer first. Come on Chloe! Come on Chloe!!,chandler
12162, Uh-oh.,chandler
12163," Uh, y'know what, we’re having second thoughts about our copying needs. And we’ll need a little more time to think about it.",joey
12164,"  Okay, that hurt us.",chandler
12165," Well ah, ........y'know.",chandler
12166, Both of us? ,joey
12167, We’ll be there.,joey
12168," All right, rock on. ",chandler
12169," Me too. Although this city is my home, so. So that’s dumb what I said, don’t tell him I said that. Umm, you make something up.  Nice,  thank you. This is me. Here.",phoebe
12170,"  Thank you, very much! Oh!  Thank you!",phoebe
12171,"  Okay, y'know what, you don’t have to do that now.  No-no-no-no!! Not him, you don’t!  Well the moment’s over.",phoebe
12172, Oh.,phoebe
12173,  See there it is right there.,phoebe
12174, Wow! It’s small.,monica
12175, Yeah. But Sergei said it took the Germans six weeks to get all the way across it.,phoebe
12176," So you had fun, huh?",monica
12177," Yeah. Except for, y'know when you’re on a date and you’re getting along really great but the guy’s translator keeps getting in the way.",phoebe
12178, No.,monica
12179,  Hey.,ross
12180," What is ah, Rach in her room?",ross
12181," Oh no, she’s still at work, but she told me to tell you to call her.",monica
12182, Oh what?! Is she gonna cancel on me again?! How can she do this? Doesn’t she know it’s our anniversary?,ross
12183," All right ah, Ross, this is the extent of my knowledge on the subject.  Call Rachel.",monica
12184, What’s that on the bottom?,ross
12185," Oh that’s my doodle of a ladybug, with a top hat.  She’s fancy.",monica
12186,  Hello.,rachel
12187," Hey, honey.",ross
12188," Oh, hi.",rachel
12189," Hey, what’s going on?",ross
12190," Well, there was a disaster in shipping and I’ve got to get this order in. Honey, I’m so sorry, but it looks like I’m gonna be here all night.",rachel
12191," What, do you, well umm, oh how about I come up there?",ross
12192," No-no-no, no, honey please, I’ve got, I’ve just have so much to deal with.",rachel
12193,"  Anyway, I’m going out with Sergei again tonight, and um, could you come and be the translator’s date? So that when we, it’s time for our alone time, you two could split off. Y'know, he’s really, he’s kinda cute.",phoebe
12194," Yeah, well kinda cute, like really kinda cute, or kinda cute like your friend Spackel Back Larry?",monica
12195," Hey, don’t call him that! His name is Spackel Back Harry!",phoebe
12196," Hey, y'know what, maybe we should get going. I mean what time did Chloe say we should be there?",chandler
12197," Uh, 10:30.",joey
12198, What time is it now?,chandler
12199, 4:30.,joey
12200," Yeah all right, so we’ll hang out.",chandler
12201," Yeah. Hey, remember when she brought up that thing about the three of us?",joey
12202, Yes. Vividly.,chandler
12203, She was kidding about that right?,joey
12204," Yeah, I-I-I think so.  Yeah, I-I think so...",chandler
12205," God, that would be weird it that situation presented itself tonight, huh?",joey
12206," Yeah. Yeah, I mean what, what would we do?",chandler
12207," Dude, I don’t know.",joey
12208, She was kidding.,chandler
12209, Yeah.,joey
12210," She was.... But y'know what, just in case, maybe we should come up with a set of ground rules.",chandler
12211," Yeah, for sure. Okay. Probably want the first thing to be, never open your eyes. Y'know, because you don’t want to be doing something and then look up and see something you don’t want to be seeing.",joey
12212," Yeah. Good call, nice one. Hold it!! Hold it! What if me eyes are closed, and, and my hand is out there.... ",chandler
12213," Ah!! Okay! Eyes open at all times! Oh, hey, how do we decide where we...  y'know each would,  y'know  be?",joey
12214," Right. Right. Well ah, y'know we could flip for it.",chandler
12215," Yeah, I guess, but what’s like heads and what’s tails?",joey
12216," Well it you don’t know that, then I don’t want to do this with you.",chandler
12217,"  No, no, no, I’m looking at a purchase order right here and it clearly states that we ordered the Rivera bikini in a variety of sizes and colours. And....  What does it matter, what I’m wearing?! Can I please speak to your supervisor?  Thank you.  We’re holding.",rachel
12218,  Hi!,ross
12219,"  Oh!! My God, what are you doing here?",rachel
12220, Well you said you couldn’t go out so.... ,ross
12221," Ross honey, this is very nice, but, but I-I got a crisis.",rachel
12222," Yeah, but I got cous-cous!",ross
12223," Honey, honey, I’m sorry, I know it’s our anniversary but I told you on the phone I don’t have time to stop.",rachel
12224," Okay, you don’t have to stop, I’m invisible, I’m not here. ",ross
12225," But I don’t, hmm...  Oh, who approved that order?!  Well there is no Mark Robbinson in this office.  Get me Mark on the phone!",rachel
12226, Yeah!!,ross
12227," Well, let me just check that with what I got here, all right see 038 is not the number for  this store, 038 is Atlanta. And I...",rachel
12228,  Pepper?,ross
12229,  None for me.,rachel
12230," Okay sorry, whew.",ross
12231," I’m sorry, as I was saying the store number is wrong, and I’m sorry but that’s...  Oh my God!!",rachel
12232,"  Okay, that’s a fire. Oh yeah. Oh yeah.",ross
12233,"  Excuse me, I’m sorry, I’m gonna have to call you back, I’ve got a Schemp in my office.   What are you doing?",rachel
12234," I’m sorry. But ah, hey, oh, somebody’s off the phone, how ‘bout a glass of wine by the fire, I could get it going again.",ross
12235," Ross you’re not listening to me, I don’t have time to stop.",rachel
12236," Come on Rach, you don’t have what, ten minutes?",ross
12237, I don’t have ten minutes!!,rachel
12238," What?  Sophie, does she have ten minutes?",ross
12239," Hey, Ross!!! I told you I don’t!",rachel
12240," Don’t yell at me okay, this is the most I’ve seen you all week.",ross
12241," Look, I cannot do this right now, okay, I’ve got a deadline, would you just go home, I’ll talk to you later. ",rachel
12242," Yeah, but wait...",ross
12243, Good bye!,rachel
12244, Hey.,ross
12245," Hi. Look um, about what happened earlier...",rachel
12246," No, hey, well, I-I completely understand. You were, you were stressed.",ross
12247,  I was gonna give you a chance to apologise to me.,rachel
12248, For what? For letting you throw me out of your office?,ross
12249, You had no right coming down to my office Ross. You do not bring a picnic basket to somebody’s work! Unless maybe they were a park ranger!,rachel
12250," Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",ross
12251," But I told you, I didn’t have the time!",rachel
12252," Yeah, well you never have the time. I mean, I don’t feel like I even have a girlfriend anymore, Rachel.",ross
12253," Wh, Ross what do you want from me? You want me, you want me to quit my job so you can feel like you have a girlfriend?",rachel
12254," No, but it’d be nice if you realised, it’s just a job!",ross
12255, Just a job!,rachel
12256, Yes.,ross
12257, Ross do you realise this is the first time in my life I’m doing something I actually care about. This is the first time in my life I’m doing something that I’m actually good at. I mean. if you don’t get that...,rachel
12258," No, hey, I get that, okay, I get that big time. And I’m happy for ya, but I’m tired of having a relationship with your answering machine! Okay, I don’t know what to do anymore.",ross
12259, Well neither do I!,rachel
12260, Is this about Mark?,ross
12261,  Oh my God.,rachel
12262," Okay, it’s not, it’s not.",ross
12263," Oh my God. I cannot keep having this same fight over and over again, Ross, no, you’re, you’re, you’re making this too hard.",rachel
12264," Oh I’m, I’m making this too hard. Okay, what do you want me to do.",ross
12265," I don’t know, I don’t know. Urrrgh! Look, maybe we should take a break.",rachel
12266," Okay, okay, fine, you’re right. Let’s ah, let’s take a break,  let’s cool off, okay, let’s get some frozen yogart, or something.. ",ross
12267, No.  A break from us.,rachel
12268," Oh, hi Chloe.",ross
12269, And that’s the only colour that comes in.,chandler
12270," So, what are you doing here? I thought tonight was your big anniversary dinner.",chandler
12271," Yeah, little change in plans. Ahh, we’re gonna break-up instead.",ross
12272," Oh, and I can also speak a little French. Voulez-vous coucher avec moi ce soir?  Why? What did I say?",monica
